vorname,anzahl,geschlecht
Marie,300,w
Sophie,239,w
Maximilian,169,m
Maria,161,w
Alexander,148,m
Paul,147,m
Anna,122,w
Ben,113,m
Leon,109,m
Mia,109,w
David,103,m
Elias,101,m
Katharina,96,w
Johanna,89,w
Felix,88,m
Sophia,84,w
Emilia,82,w
Charlotte,80,w
Jan,79,m
Emma,79,w
Noah,78,m
Lina,76,w
Jonas,75,m
Luca,74,m
Lukas,72,m
Lena,72,w
Julian,68,m
Max,68,m
Lara,64,w
Daniel,64,m
Jakob,64,m
Anton,63,m
Philipp,62,m
Joel,61,m
Moritz,59,m
Lea,58,w
Louis,58,m
Jonathan,57,m
Luis,57,m
Luisa,56,w
Gabriel,55,m
Peter,54,m
Tim,54,m
Laura,53,w
Leonie,53,w
Vincent,53,m
Benjamin,52,m
Emil,52,m
Elisabeth,51,w
Sarah,51,w
Julius,51,m
Paula,48,w
Simon,47,m
Emily,46,w
Julia,46,w
Leo,46,m
Niklas,46,m
Greta,45,w
Luise,45,w
Johannes,45,m
Tom,45,m
Hannah,43,w
Henri,43,m
Clara,42,w
Antonia,41,w
Elif,41,w
Maya,41,w
Finn,41,m
Leonard,41,m
Ida,40,w
Maja,40,w
Florian,40,m
Samuel,40,m
Lotta,39,w
Melina,38,w
Alina,37,w
Helena,37,w
Lisa,37,w
Mila,37,w
Nele,37,w
Carla,36,w
Pauline,36,w
Sebastian,36,m
Amelie,35,w
Karl,35,m
Mika,35,m
Josefine,34,w
Lilly,34,w
Christian,34,m
Louisa,34,w
Michael,34,m
Sofia,34,w
Victoria,34,w
Fabian,33,m
Konstantin,33,m
Elisa,33,w
Levi,33,m
Helene,33,w
Leni,33,w
Lasse,32,m
Carlotta,32,w
Ella,32,w
Hanna,32,w
Ali,31,m
Johann,31,m
Mats,31,m
Matilda,31,w
Nur,31,w
Muhammed,30,m
Yusuf,30,m
Isabella,30,w
Josephine,30,w
Nisa,30,w
Friedrich,29,m
Nicolas,29,m
Angelina,29,w
Marlene,29,w
Zoe,29,w
Henry,28,m
Timo,28,m
Tobias,28,m
Lucia,28,w
Nina,28,w
Adrian,27,m
Benedikt,27,m
Can,27,m
Joshua,27,m
Ela,27,w
Mara,27,w
Aaron,26,m
Arda,26,m
Frida,26,w
Justus,26,m
Mathilda,26,w
Linus,26,m
Lucas,26,m
Nick,25,m
Ole,25,m
Oskar,25,m
Robin,25,m
Theo,25,m
Valentin,25,m
Lia,24,w
Pia,24,w
Sara,24,w
Carl,24,m
Erik,24,m
